Code,SMILES,Classifications,Backbone_Type,Backbone_Info
THA3,OC(=O)[C@H](Cc1cscc1)[NH3],cyclic;d_amino,alpha,默认分类
THG2,OC(=O)[C@H](c1cccs1)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
THG3,OC(=O)[C@H](c1cscc1)[NH3],cyclic;d_amino,alpha,默认分类
THIC,OC(=O)[C@H](CCC[NH]=[C](=S)=[NH2])[NH3],d_amino,alpha,默认分类
THR,[NH3][C@@H]([C@@H](C)O)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
TIH,OC(=O)[C@H](Cc1cccs1)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
TPO,C[C@H]([C@@H]([C](=O)=O)[NH3])OP(O)(O)O,d_amino,alpha,默认分类
TPO2,C[C@H]([C@@H]([C](=O)=O)[NH3])OP(O)(O)O,d_amino,alpha,默认分类
TRO,OC(=O)[C@H](Cc1c(O)[nH]c2c1cccc2)[NH3],cyclic;d_amino,alpha,默认分类
TRP,[NH3][C@@H](Cc1c[nH]c2c1cccc2)C(=O)O,cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
TRX,O=[C](=O)[C@H](Cc1c[nH]c2c1ccc(c2)O)[NH3],cyclic;d_amino,alpha,默认分类
TRZ4,[NH3][C@H](C(=O)O)Cn1cncn1,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
TTQ,[NH3][C@H]([C](=O)=O)Cc1c[nH]c2c1ccc(c2O)N,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
TY2,OC(=O)[C@H](Cc1ccc(c(c1)N)O)[NH3],cyclic;d_amino,alpha,默认分类
TYI,OC(=O)[C@H](Cc1cc(I)c(c(c1)I)O)[NH3],cyclic;d_amino,alpha,默认分类
TYQ,OC(=O)[C@H](Cc1cc(N)c(cc1O)O)[NH3],cyclic;d_amino,alpha,默认分类
TYR,[NH3][C@@H](Cc1ccc(cc1)O)C(=O)O,cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
TZA4,[NH3][C@H](C(=O)O)Cc1cscn1,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
